name,party,chamber,state,median_rt,tweet_count,LLS
Joe Wilson,Republican,House,SC,2.0,1357,14.43
Rep. Jim Costa,Democrat,House,CA,2.0,1328,14.38
Julia Brownley,Democrat,House,CA,2.0,1327,14.38
Rep. Ryan Costello,Republican,House,PA,2.0,1324,14.38
French Hill,Republican,House,AR,2.0,1324,14.38
Rep. Jody Hice,Republican,House,GA,2.0,1240,14.25
Mo Brooks,Republican,House,AL,2.0,1186,14.16
Bill Keating,Democrat,House,MA,2.0,1184,14.15
RepMarkAmodei,Republican,House,NV,2.0,1138,14.08
Rep. Brad Sherman,Democrat,House,CA,2.0,1117,14.04
Rep. Bruce Poliquin,Republican,House,ME,2.0,1073,13.96
Rep. Tom Cole,Republican,House,OK,2.0,1061,13.94
Rep. Ron Kind,Democrat,House,WI,2.0,1064,13.94
Barry Loudermilk,Republican,House,GA,2.0,1036,13.89
Congressman Tom Rice,Republican,House,SC,2.0,920,13.65
Rep Dan Newhouse,Republican,House,WA,2.0,862,13.52
Rep. Danny Davis,Democrat,House,IL,2.0,777,13.31
RepBThompson,Democrat,House,MS,2.0,752,13.25
George Holding,Republican,House,NC,2.0,651,12.96
Darin LaHood,Republican,House,IL,2.0,616,12.85
Luther Strange,Republican,Senate,AL,1.0,1143,12.68
Rob Woodall,Republican,House,GA,2.0,548,12.62
David Rouzer,Republican,House,NC,2.0,517,12.5
Rep Josh Gottheimer,Democrat,House,NJ,2.0,497,12.42
Cong. Mike Simpson,Republican,House,ID,2.0,462,12.28
Rep. Mike Gallagher,Republican,House,WI,2.0,450,12.22
Rep. Doug LaMalfa,Republican,House,CA,2.0,355,11.75
John Rutherford,Republican,House,FL,2.0,346,11.7
Tom McClintock,Republican,House,CA,2.0,289,11.34
Rep. Arrington,Republican,House,TX,2.0,268,11.19
Rep. Mike Johnson,Republican,House,LA,2.0,189,10.49
Rep Andy Biggs,Republican,House,AZ,1.5,854,10.13
Trey Hollingsworth,Republican,House,IN,2.0,87,8.95
Collin Peterson,Democrat,House,MN,2.0,80,8.79
U.S.Rep Gonzalez,Democrat,House,TX,3.0,16,8.5
Glenn 'GT' Thompson,Republican,House,PA,1.0,3219,8.08
Ken Calvert,Republican,House,CA,1.0,3240,8.08
Frank LoBiondo,Republican,House,NJ,1.0,3224,8.08
Rep. Rob Wittman,Republican,House,VA,1.0,3188,8.07
Kenny Marchant,Republican,House,TX,1.0,3211,8.07
Bill Johnson,Republican,House,OH,1.0,3202,8.07
Rep David Schweikert,Republican,House,AZ,1.0,3192,8.07
Rep. John Delaney,Democrat,House,NY,1.0,3205,8.07
Donald Norcross,Democrat,House,NJ,1.0,3184,8.07
Mike Rogers,Republican,House,AL,1.0,3160,8.06
Bill Shuster,Republican,House,PA,1.0,3130,8.05
Dave Joyce,Republican,House,OH,1.0,3121,8.05
Rep. Chris Collins,Republican,House,NY,1.0,3065,8.03
Daniel Webster,Republican,House,FL,1.0,2939,7.99
David Scott,Democrat,House,GA,1.0,2455,7.81
Jeff Denham,Republican,House,CA,1.0,2453,7.81
Jeff Fortenberry,Republican,House,NE,1.0,2223,7.71
Rep. Vern Buchanan,Republican,House,FL,1.0,2216,7.7
Randy Weber,Republican,House,TX,1.0,2149,7.67
Albio Sires,Democrat,House,NJ,1.0,2011,7.61
Rep. Austin Scott,Republican,House,GA,1.0,2019,7.61
Rep. Kurt Schrader,Democrat,House,OR,1.0,1937,7.57
Governor John Carney,Democrat,House,DE,1.0,1773,7.48
John Culberson,Republican,House,TX,1.0,1701,7.44
Chuck Fleischmann,Republican,House,TN,1.0,1650,7.41
"Sanford Bishop, Jr.",Democrat,House,GA,1.0,1630,7.4
Rep. Daniel Lipinski,Democrat,House,IL,1.0,1639,7.4
Tom Reed,Republican,House,NY,1.0,1590,7.37
Rep. Kay Granger,Republican,House,TX,1.0,1358,7.21
Rep. Robert Aderholt,Republican,House,AL,1.0,1279,7.15
Colleen Hanabusa,Democrat,House,HI,1.0,1271,7.15
Sam Johnson,Republican,House,TX,1.0,972,6.88
Rep. Richard Neal,Democrat,House,MA,1.0,915,6.82
Rodney Frelinghuysen,Republican,House,NJ,1.0,905,6.81
Rick W. Allen,Republican,House,GA,1.0,850,6.75
Rep. Brett Guthrie,Republican,House,KY,1.0,712,6.57
Frank Lucas,Republican,House,OK,1.0,623,6.44
Rep. Glenn Grothman,Republican,House,WI,1.0,617,6.43
Rep. John Moolenaar,Republican,House,MI,1.0,613,6.42
Rep. Don Bacon,Republican,House,NE,1.0,610,6.42
Trent Kelly,Republican,House,MS,1.0,588,6.38
Congresswoman Tenney,Republican,House,NY,1.0,430,6.07
Brian Fitzpatrick,Republican,House,PA,1.0,410,6.02
Rep. Jack Bergman,Republican,House,MI,1.0,326,5.79
John Faso,Republican,House,NY,1.0,283,5.65
Dr. Neal Dunn,Republican,House,FL,1.0,266,5.59
Francis Rooney,Republican,House,FL,1.0,238,5.48
Rep. Lloyd Smucker,Republican,House,PA,0.5,1976,3.79
Rep. Ron Estes,Republican,House,KS,1.0,27,3.33
Dana Rohrabacher,Republican,House,CA,0.0,3243,0.0
Bill Posey,Republican,House,FL,0.0,1227,0.0
Dr. Roger Marshall,Republican,Senate,KS,0.0,747,0.0
